"response","treatment","age","party"
0,0,28,"d"
1,0,54,"g"
1,0,44,"a"
0,0,77,"a"
0,0,44,"a"
0,0,47,"b"
0,1,19,"f"
0,0,36,"b"
0,0,27,"b"
1,1,51,"e"
1,0,24,"b"
0,1,37,"c"
0,1,25,"a"
0,0,36,"a"
1,0,66,"b"
1,0,63,"b"
0,1,36,"b"
0,1,89,"b"
1,0,45,"b"
0,0,35,"b"
1,0,71,"a"
0,1,37,"a"
0,0,46,"a"
1,0,27,"f"
0,1,31,"i"
1,0,67,"f"
1,0,52,"a"
0,0,20,"f"
1,1,29,"b"
0,1,23,"e"
0,1,30,"e"
0,1,34,"f"
0,1,46,"b"
0,0,36,"a"
0,0,22,"b"
0,1,22,"g"
0,0,78,"a"
0,1,57,"f"
0,1,40,"d"
0,1,58,"d"
1,1,27,"e"
1,0,34,"d"
0,1,70,"g"
0,1,30,"f"
0,1,24,"d"
0,0,19,"f"
1,1,29,"d"
0,0,38,"a"
1,0,69,"d"
0,1,24,"d"
0,1,42,"a"
0,1,22,"c"
0,1,26,"d"
0,1,28,"f"
0,0,22,"b"
1,0,49,"b"
0,1,67,"c"
0,1,49,"c"
0,1,63,"f"
0,1,34,"b"
0,1,64,"a"
0,0,31,"b"
0,0,86,"b"
0,0,22,"a"
0,1,46,"b"
0,1,74,"a"
0,0,41,"c"
0,1,27,"a"
0,1,NA,"b"
0,0,NA,"h"
0,1,30,"e"
0,1,23,"f"
0,1,29,"e"
0,0,44,"d"
0,1,70,"b"
0,1,23,"f"
0,0,NA,"f"
1,0,48,"g"
0,0,44,"c"
0,1,46,"a"
0,1,71,"c"
0,1,42,"b"
1,0,60,"g"
0,1,44,"d"
0,1,40,"g"
0,1,27,"d"
0,0,26,"b"
0,1,49,"b"
0,0,56,"b"
0,1,29,"e"
0,0,62,"e"
0,1,37,"c"
0,0,41,"b"
0,0,77,"g"
0,0,61,"b"
0,1,45,"c"
0,0,84,"g"
0,1,72,"g"
0,0,29,"c"
0,0,32,"d"
0,0,51,"a"
0,0,26,"e"
0,0,33,"b"
1,0,68,"g"
0,1,44,"e"
0,0,35,"b"
0,1,32,"c"
1,0,66,"d"
1,1,71,"a"
1,0,46,"a"
0,0,47,"d"
0,0,31,"e"
0,1,54,"a"
0,1,51,"a"
0,1,46,"f"
0,0,73,"c"
0,1,67,"b"
0,0,44,"d"
0,0,52,"d"
0,1,39,"c"
0,1,42,"b"
0,1,42,"e"
1,0,43,"g"
1,0,54,"c"
1,0,37,"h"
0,0,40,"a"
1,1,30,"f"
0,1,29,"f"
0,1,45,"d"
1,0,21,"d"
0,0,27,"d"
0,0,43,"c"
1,0,42,"f"
0,1,43,"b"
0,0,30,"f"
0,1,34,"e"
1,1,38,"g"
0,1,36,"f"
0,0,60,"g"
0,0,77,"e"
0,1,43,"a"
1,0,36,"a"
0,0,63,"e"
0,0,35,"a"
0,0,24,"b"
1,0,63,"e"
0,1,76,"g"
1,0,42,"f"
0,1,76,"d"
1,0,56,"e"
1,0,68,"g"
0,1,19,"g"
0,0,74,"g"
1,0,63,"f"
0,1,50,"f"
0,1,64,"g"
0,1,47,"c"
0,1,54,"b"
0,0,56,"a"
0,1,42,"f"
0,0,35,"c"
1,0,20,"f"
1,0,27,"e"
1,0,54,"g"
0,1,39,"f"
0,1,44,"c"
0,1,32,"b"
1,1,42,"d"
1,0,70,"g"
0,1,54,"c"
0,1,24,"b"
0,1,40,"c"
0,0,26,"a"
1,0,25,"b"
0,0,32,"a"
0,0,39,"b"
0,0,37,"a"
0,1,66,"a"
0,0,51,"a"
0,0,38,"e"
0,0,27,"a"
0,1,63,"d"
1,0,66,"a"
1,0,37,"d"
0,0,28,"b"
0,1,36,"f"
1,0,83,"g"
0,0,86,"a"
0,1,24,"g"
1,1,62,"e"
0,1,46,"c"
0,0,22,"c"
0,1,81,"a"
1,1,39,"e"
0,1,40,"b"
1,0,44,"a"
1,0,83,"a"
0,0,39,"b"
0,1,21,"c"
0,1,45,"b"
0,1,31,"a"
0,0,58,"f"
0,0,32,"c"
0,0,51,"f"
1,1,35,"g"
0,0,25,"f"
0,1,36,"c"
0,1,65,"b"
1,0,63,"b"
0,1,48,"g"
0,0,62,"b"
0,1,68,"a"
1,0,24,"f"
0,1,31,"d"
0,0,46,"d"
0,0,30,"a"
0,1,40,"d"
0,0,19,"a"
0,1,25,"f"
0,0,27,"c"
1,0,22,"b"
0,1,58,"c"
0,1,61,"b"
0,1,64,"a"
1,0,33,"b"
0,1,29,"d"
0,1,60,"b"
0,1,39,"c"
0,1,32,"b"
0,1,27,"b"
0,1,26,"f"
1,0,34,"c"
1,1,32,"b"
0,0,63,"e"
1,0,75,"f"
1,1,64,"g"
0,0,57,"d"
1,1,63,"g"
0,1,41,"e"
